"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun May 28 02:02:28 GMT 2023","Sun May 28 02:02:37 GMT 2023","8373","Opencart App Test Regression Suite","Register Page Test_chrome","com.qa.opencart.tests.RegisterPageTest","com.qa.opencart.tests.RegisterPageTest","userRegTest","userRegTest",""
"failed","Sun May 28 02:02:35 GMT 2023","Sun May 28 02:02:38 GMT 2023","2974","Opencart App Test Regression Suite","Product Info Page Test_chrome","com.qa.opencart.tests.ProductPageInfoTest","com.qa.opencart.tests.ProductPageInfoTest","productInfoTest","productInfoTest",""
"passed","Sun May 28 02:02:16 GMT 2023","Sun May 28 02:02:19 GMT 2023","3498","Opencart App Test Regression Suite","Accounts Page Test_chrome","com.qa.opencart.tests.AccountsPageTest","com.qa.opencart.tests.AccountsPageTest","searchProductTest","searchProductTest",""
"failed","Sun May 28 02:02:19 GMT 2023","Sun May 28 02:02:24 GMT 2023","5633","Opencart App Test Regression Suite","Product Info Page Test_chrome","com.qa.opencart.tests.ProductPageInfoTest","com.qa.opencart.tests.ProductPageInfoTest","addtToCartTest","addtToCartTest",""
"passed","Sun May 28 02:02:13 GMT 2023","Sun May 28 02:02:16 GMT 2023","2111","Opencart App Test Regression Suite","Accounts Page Test_chrome","com.qa.opencart.tests.AccountsPageTest","com.qa.opencart.tests.AccountsPageTest","searchProductCountTest","searchProductCountTest",""
"passed","Sun May 28 02:02:27 GMT 2023","Sun May 28 02:02:29 GMT 2023","2241","Opencart App Test Regression Suite","Product Info Page Test_chrome","com.qa.opencart.tests.ProductPageInfoTest","com.qa.opencart.tests.ProductPageInfoTest","productImagesCountTest","productImagesCountTest",""
"passed","Sun May 28 02:02:13 GMT 2023","Sun May 28 02:02:14 GMT 2023","28","Opencart App Test Regression Suite","Login Page Test_chrome","com.qa.opencart.tests.LoginPageTest","com.qa.opencart.tests.LoginPageTest","loginPageURLTest","loginPageURLTest","....checking the url of the page.... tester: Naveen"
"broken","Sun May 28 02:02:08 GMT 2023","Sun May 28 02:02:13 GMT 2023","5679","Opencart App Test Regression Suite","Login Page Test_chrome","com.qa.opencart.tests.LoginPageTest","com.qa.opencart.tests.LoginPageTest","loginPageTitleTest","loginPageTitleTest","....checking the title of the page.... tester: Naveen"
"passed","Sun May 28 02:02:29 GMT 2023","Sun May 28 02:02:32 GMT 2023","3002","Opencart App Test Regression Suite","Product Info Page Test_chrome","com.qa.opencart.tests.ProductPageInfoTest","com.qa.opencart.tests.ProductPageInfoTest","productImagesCountTest","productImagesCountTest",""
"passed","Sun May 28 02:02:32 GMT 2023","Sun May 28 02:02:35 GMT 2023","3214","Opencart App Test Regression Suite","Product Info Page Test_chrome","com.qa.opencart.tests.ProductPageInfoTest","com.qa.opencart.tests.ProductPageInfoTest","productImagesCountTest","productImagesCountTest",""
"passed","Sun May 28 02:02:11 GMT 2023","Sun May 28 02:02:11 GMT 2023","164","Opencart App Test Regression Suite","Accounts Page Test_chrome","com.qa.opencart.tests.AccountsPageTest","com.qa.opencart.tests.AccountsPageTest","accPageHeadersValueTest","accPageHeadersValueTest",""
"passed","Sun May 28 02:02:11 GMT 2023","Sun May 28 02:02:11 GMT 2023","219","Opencart App Test Regression Suite","Accounts Page Test_chrome","com.qa.opencart.tests.AccountsPageTest","com.qa.opencart.tests.AccountsPageTest","accPageHeadersCountTest","accPageHeadersCountTest",""
"passed","Sun May 28 02:02:24 GMT 2023","Sun May 28 02:02:27 GMT 2023","2530","Opencart App Test Regression Suite","Product Info Page Test_chrome","com.qa.opencart.tests.ProductPageInfoTest","com.qa.opencart.tests.ProductPageInfoTest","productImagesCountTest","productImagesCountTest",""
"passed","Sun May 28 02:02:11 GMT 2023","Sun May 28 02:02:20 GMT 2023","9319","Opencart App Test Regression Suite","Register Page Test_chrome","com.qa.opencart.tests.RegisterPageTest","com.qa.opencart.tests.RegisterPageTest","userRegTest","userRegTest",""
"passed","Sun May 28 02:02:14 GMT 2023","Sun May 28 02:02:16 GMT 2023","2825","Opencart App Test Regression Suite","Login Page Test_chrome","com.qa.opencart.tests.LoginPageTest","com.qa.opencart.tests.LoginPageTest","loginTest","loginTest","....checking user is able to login to app with correct username and password...."
"passed","Sun May 28 02:02:11 GMT 2023","Sun May 28 02:02:11 GMT 2023","12","Opencart App Test Regression Suite","Accounts Page Test_chrome","com.qa.opencart.tests.AccountsPageTest","com.qa.opencart.tests.AccountsPageTest","accPageURLTest","accPageURLTest",""
"passed","Sun May 28 02:02:11 GMT 2023","Sun May 28 02:02:13 GMT 2023","2145","Opencart App Test Regression Suite","Accounts Page Test_chrome","com.qa.opencart.tests.AccountsPageTest","com.qa.opencart.tests.AccountsPageTest","searchProductCountTest","searchProductCountTest",""
"passed","Sun May 28 02:02:20 GMT 2023","Sun May 28 02:02:28 GMT 2023","8398","Opencart App Test Regression Suite","Register Page Test_chrome","com.qa.opencart.tests.RegisterPageTest","com.qa.opencart.tests.RegisterPageTest","userRegTest","userRegTest",""
"passed","Sun May 28 02:02:14 GMT 2023","Sun May 28 02:02:14 GMT 2023","92","Opencart App Test Regression Suite","Login Page Test_chrome","com.qa.opencart.tests.LoginPageTest","com.qa.opencart.tests.LoginPageTest","forgotPwdLinkExistTest","forgotPwdLinkExistTest","....checking forgot pwd link exist.... tester: Naveen"
"passed","Sun May 28 02:02:11 GMT 2023","Sun May 28 02:02:11 GMT 2023","68","Opencart App Test Regression Suite","Accounts Page Test_chrome","com.qa.opencart.tests.AccountsPageTest","com.qa.opencart.tests.AccountsPageTest","isLogoutLinkExistTest","isLogoutLinkExistTest",""
"failed","Sun May 28 02:02:11 GMT 2023","Sun May 28 02:02:19 GMT 2023","7833","Opencart App Test Regression Suite","Product Info Page Test_chrome","com.qa.opencart.tests.ProductPageInfoTest","com.qa.opencart.tests.ProductPageInfoTest","addtToCartTest","addtToCartTest",""
"passed","Sun May 28 02:02:11 GMT 2023","Sun May 28 02:02:11 GMT 2023","18","Opencart App Test Regression Suite","Accounts Page Test_chrome","com.qa.opencart.tests.AccountsPageTest","com.qa.opencart.tests.AccountsPageTest","accPageTitleTest","accPageTitleTest",""
